Detectado,Acuracia
chair, 0.8499
person, 0.9951
bottle, 0.9488
chair, 0.8806
person, 0.9948
bottle, 0.9506
chair, 0.6514
person, 0.9974
bottle, 0.9660
chair, 0.7939
person, 0.9992
bottle, 0.9655
chair, 0.6013
chair, 0.5892
person, 0.9992
bottle, 0.9788
chair, 0.6969
person, 0.9994
bottle, 0.9627
chair, 0.7979
person, 0.9992
bottle, 0.9684
chair, 0.7511
chair, 0.6593
person, 0.9989
bottle, 0.9822
chair, 0.7832
chair, 0.5961
person, 0.9979
bottle, 0.9425
chair, 0.7317
person, 0.9986
bottle, 0.9630
chair, 0.8018
person, 0.9988
bottle, 0.9698
chair, 0.7357
person, 0.9986
bottle, 0.9758
chair, 0.7943
chair, 0.5772
person, 0.9991
bottle, 0.9660
chair, 0.7611
chair, 0.5119
person, 0.9985
bottle, 0.9542
chair, 0.7196
chair, 0.7174
person, 0.9985
bottle, 0.9834
chair, 0.7508
chair, 0.7323
person, 0.9984
bottle, 0.9778
chair, 0.5034
person, 0.9970
bottle, 0.9633
chair, 0.5256
person, 0.9934
bottle, 0.9864
person, 0.9917
bottle, 0.9655
laptop, 0.6280
person, 0.9965
bottle, 0.9566
chair, 0.7149
laptop, 0.6296
person, 0.9986
bottle, 0.9685
chair, 0.8068
chair, 0.7046
chair, 0.6243
laptop, 0.5947
person, 0.9994
chair, 0.9697
bottle, 0.9609
chair, 0.7655
chair, 0.7138
person, 0.9982
bottle, 0.9801
chair, 0.9181
person, 0.9975
bottle, 0.9741
person, 0.6713
chair, 0.6672
laptop, 0.5194
person, 0.9977
bottle, 0.9802
person, 0.9609
chair, 0.8188
chair, 0.5324
person, 0.9973
bottle, 0.9684
person, 0.9154
chair, 0.9036
person, 0.9975
bottle, 0.9703
chair, 0.8905
person, 0.8579
person, 0.9969
bottle, 0.9765
chair, 0.6355
laptop, 0.5428
person, 0.9986
bottle, 0.9738
laptop, 0.5324
person, 0.9990
bottle, 0.9799
person, 0.8907
chair, 0.8214
person, 0.9901
person, 0.9653
chair, 0.9437
bottle, 0.9360
person, 0.9864
person, 0.9728
chair, 0.9623
bottle, 0.9334
laptop, 0.5810
chair, 0.5315
person, 0.9899
person, 0.9874
chair, 0.9552
bottle, 0.9057
chair, 0.7374
chair, 0.6464
person, 0.9781
chair, 0.9680
bottle, 0.9624
chair, 0.7461
person, 0.9966
person, 0.9744
chair, 0.9699
bottle, 0.9054
laptop, 0.6602
chair, 0.5118
chair, 0.5074
person, 0.9974
person, 0.9770
chair, 0.9660
bottle, 0.9199
laptop, 0.6177
laptop, 0.5292
chair, 0.5026
chair, 0.5019
person, 0.9992
person, 0.9832
chair, 0.9382
